dataset,validation_year,station_group,assigned_held_out_station,assigned_station_train_rows,actual_validation_row_count,group_validation_row_count,saved_fold_id,listed_in_saved_fold,truly_scored,listed_but_not_scored,development_station,development_station_never_in_outer_period
derived_8.0,2021,0,SourdoughGulch_WA_985,1461,365,365,outer_year_2021_stations_0,True,True,False,True,False
derived_8.0,2021,1,Quinault,1447,351,351,outer_year_2021_stations_1,True,True,False,True,False
derived_8.0,2021,2,Touchet_WA_824,1397,0,0,,False,False,False,True,True
derived_8.0,2021,3,Darrington,1377,335,665,outer_year_2021_stations_3,True,True,False,True,False
derived_8.0,2021,3,Spokane,1186,330,665,outer_year_2021_stations_3,True,True,False,True,False
derived_8.0,2022,0,SourdoughGulch_WA_985,1461,364,364,outer_year_2022_stations_0,True,True,False,True,False
derived_8.0,2022,1,Quinault,1447,362,362,outer_year_2022_stations_1,True,True,False,True,False
derived_8.0,2022,2,Touchet_WA_824,1397,0,0,,False,False,False,True,True
derived_8.0,2022,3,Darrington,1377,336,613,outer_year_2022_stations_3,True,True,False,True,False
derived_8.0,2022,3,Spokane,1186,277,613,outer_year_2022_stations_3,True,True,False,True,False
derived_8.3,2021,0,Darrington,1377,335,1030,outer_year_2021_stations_0,True,True,False,True,False
derived_8.3,2021,0,SourdoughGulch_WA_985,1461,365,1030,outer_year_2021_stations_0,True,True,False,True,False
derived_8.3,2021,0,Spokane,1186,330,1030,outer_year_2021_stations_0,True,True,False,True,False
derived_8.3,2021,1,BeaverPass_WA_990,1459,361,726,outer_year_2021_stations_1,True,True,False,True,False
derived_8.3,2021,1,RainyPass_WA_711,1421,365,726,outer_year_2021_stations_1,True,True,False,True,False
derived_8.3,2021,2,CayusePass_WA,1414,364,729,outer_year_2021_stations_2,True,True,False,True,False
derived_8.3,2021,2,Paradise_WA,1459,365,729,outer_year_2021_stations_2,True,True,False,True,False
derived_8.3,2021,3,MartenRidge_WA_999,1454,359,710,outer_year_2021_stations_3,True,True,False,True,False
derived_8.3,2021,3,Quinault,1447,351,710,outer_year_2021_stations_3,True,True,False,True,False
derived_8.3,2022,0,Darrington,1377,336,978,outer_year_2022_stations_0,True,True,False,True,False
derived_8.3,2022,0,SourdoughGulch_WA_985,1461,365,978,outer_year_2022_stations_0,True,True,False,True,False
derived_8.3,2022,0,Spokane,1186,277,978,outer_year_2022_stations_0,True,True,False,True,False
derived_8.3,2022,1,BeaverPass_WA_990,1459,365,701,outer_year_2022_stations_1,True,True,False,True,False
derived_8.3,2022,1,RainyPass_WA_711,1421,336,701,outer_year_2022_stations_1,True,True,False,True,False
derived_8.3,2022,2,CayusePass_WA,1414,264,629,outer_year_2022_stations_2,True,True,False,True,False
derived_8.3,2022,2,Paradise_WA,1459,365,629,outer_year_2022_stations_2,True,True,False,True,False
derived_8.3,2022,3,MartenRidge_WA_999,1454,354,716,outer_year_2022_stations_3,True,True,False,True,False
derived_8.3,2022,3,Quinault,1447,362,716,outer_year_2022_stations_3,True,True,False,True,False
